Country,Region,Population,Area (sq. mi.),GDP ($ per capita)
Hungary ,EASTERN EUROPE                     ,9981334,93030,13900.0
Iceland ,WESTERN EUROPE                     ,299388,103000,30900.0
India ,ASIA (EX. NEAR EAST)         ,1095351995,3287590,2900.0
Indonesia ,ASIA (EX. NEAR EAST)         ,245452739,1919440,3200.0
Iran ,ASIA (EX. NEAR EAST)         ,68688433,1648000,7000.0
Iraq ,NEAR EAST                          ,26783383,437072,1500.0
Ireland ,WESTERN EUROPE                     ,4062235,70280,29600.0
Isle of Man ,WESTERN EUROPE                     ,75441,572,21000.0
Israel ,NEAR EAST                          ,6352117,20770,19800.0
Italy ,WESTERN EUROPE                     ,58133509,301230,26700.0
Jamaica ,LATIN AMER. & CARIB    ,2758124,10991,3900.0
Japan ,ASIA (EX. NEAR EAST)         ,127463611,377835,28200.0
Jersey ,WESTERN EUROPE                     ,91084,116,24800.0
Jordan ,NEAR EAST                          ,5906760,92300,4300.0
Kazakhstan ,C.W. OF IND. STATES ,15233244,2717300,6300.0
Kenya ,SUB-SAHARAN AFRICA                 ,34707817,582650,1000.0
Kiribati ,OCEANIA                            ,105432,811,800.0
Korea North ,ASIA (EX. NEAR EAST)         ,23113019,120540,1300.0
Korea South ,ASIA (EX. NEAR EAST)         ,48846823,98480,17800.0
Kuwait ,NEAR EAST                          ,2418393,17820,19000.0
Kyrgyzstan ,C.W. OF IND. STATES ,5213898,198500,1600.0
Laos ,ASIA (EX. NEAR EAST)         ,6368481,236800,1700.0
Latvia ,BALTICS                            ,2274735,64589,10200.0
Lebanon ,NEAR EAST                          ,3874050,10400,4800.0
Lesotho ,SUB-SAHARAN AFRICA                 ,2022331,30355,3000.0
Liberia ,SUB-SAHARAN AFRICA                 ,3042004,111370,1000.0
Libya ,NORTHERN AFRICA                    ,5900754,1759540,6400.0
Liechtenstein ,WESTERN EUROPE                     ,33987,160,25000.0
Lithuania ,BALTICS                            ,3585906,65200,11400.0
Luxembourg ,WESTERN EUROPE                     ,474413,2586,55100.0
Macau ,ASIA (EX. NEAR EAST)         ,453125,28,19400.0
Macedonia ,EASTERN EUROPE                     ,2050554,25333,6700.0
Madagascar ,SUB-SAHARAN AFRICA                 ,18595469,587040,800.0
Malawi ,SUB-SAHARAN AFRICA                 ,13013926,118480,600.0
Malaysia ,ASIA (EX. NEAR EAST)         ,24385858,329750,9000.0
Maldives ,ASIA (EX. NEAR EAST)         ,359008,300,3900.0
Mali ,SUB-SAHARAN AFRICA                 ,11716829,1240000,900.0
Malta ,WESTERN EUROPE                     ,400214,316,17700.0
Marshall Islands ,OCEANIA                            ,60422,11854,1600.0
Martinique ,LATIN AMER. & CARIB    ,436131,1100,14400.0
Mauritania ,SUB-SAHARAN AFRICA                 ,3177388,1030700,1800.0
Mauritius ,SUB-SAHARAN AFRICA                 ,1240827,2040,11400.0
Mayotte ,SUB-SAHARAN AFRICA                 ,201234,374,2600.0
Mexico ,LATIN AMER. & CARIB    ,107449525,1972550,9000.0
Micronesia Fed. St. ,OCEANIA                            ,108004,702,2000.0
Moldova ,C.W. OF IND. STATES ,4466706,33843,1800.0
Monaco ,WESTERN EUROPE                     ,32543,2,27000.0
Mongolia ,ASIA (EX. NEAR EAST)         ,2832224,1564116,1800.0
Montserrat ,LATIN AMER. & CARIB    ,9439,102,3400.0
Morocco ,NORTHERN AFRICA                    ,33241259,446550,4000.0
Mozambique ,SUB-SAHARAN AFRICA                 ,19686505,801590,1200.0
Namibia ,SUB-SAHARAN AFRICA                 ,2044147,825418,7200.0
Nauru ,OCEANIA                            ,13287,21,5000.0
Nepal ,ASIA (EX. NEAR EAST)         ,28287147,147181,1400.0
Netherlands ,WESTERN EUROPE                     ,16491461,41526,28600.0
Netherlands Antilles ,LATIN AMER. & CARIB    ,221736,960,11400.0
New Caledonia ,OCEANIA                            ,219246,19060,15000.0
New Zealand ,OCEANIA                            ,4076140,268680,21600.0
Nicaragua ,LATIN AMER. & CARIB    ,5570129,129494,2300.0
Niger ,SUB-SAHARAN AFRICA                 ,12525094,1267000,800.0
Nigeria ,SUB-SAHARAN AFRICA                 ,131859731,923768,900.0
N. Mariana Islands ,OCEANIA                            ,82459,477,12500.0
Norway ,WESTERN EUROPE                     ,4610820,323802,37800.0
Oman ,NEAR EAST                          ,3102229,212460,13100.0
Pakistan ,ASIA (EX. NEAR EAST)         ,165803560,803940,2100.0
Palau ,OCEANIA                            ,20579,458,9000.0
Panama ,LATIN AMER. & CARIB    ,3191319,78200,6300.0
Papua New Guinea ,OCEANIA                            ,5670544,462840,2200.0
Paraguay ,LATIN AMER. & CARIB    ,6506464,406750,4700.0
Peru ,LATIN AMER. & CARIB    ,28302603,1285220,5100.0
Philippines ,ASIA (EX. NEAR EAST)         ,89468677,300000,4600.0
Poland ,EASTERN EUROPE                     ,38536869,312685,11100.0
Portugal ,WESTERN EUROPE                     ,10605870,92391,18000.0
Puerto Rico ,LATIN AMER. & CARIB    ,3927188,13790,16800.0
Qatar ,NEAR EAST                          ,885359,11437,21500.0
Reunion ,SUB-SAHARAN AFRICA                 ,787584,2517,5800.0
Romania ,EASTERN EUROPE                     ,22303552,237500,7000.0
Russia ,C.W. OF IND. STATES ,142893540,17075200,8900.0
Rwanda ,SUB-SAHARAN AFRICA                 ,8648248,26338,1300.0
Saint Helena ,SUB-SAHARAN AFRICA                 ,7502,413,2500.0
Saint Kitts & Nevis ,LATIN AMER. & CARIB    ,39129,261,8800.0
Saint Lucia ,LATIN AMER. & CARIB    ,168458,616,5400.0
St Pierre & Miquelon ,NORTHERN AMERICA                   ,7026,242,6900.0
Saint Vincent and the Grenadines ,LATIN AMER. & CARIB    ,117848,389,2900.0
Samoa ,OCEANIA                            ,176908,2944,5600.0
San Marino ,WESTERN EUROPE                     ,29251,61,34600.0
Sao Tome & Principe ,SUB-SAHARAN AFRICA                 ,193413,1001,1200.0
Saudi Arabia ,NEAR EAST                          ,27019731,1960582,11800.0
Senegal ,SUB-SAHARAN AFRICA                 ,11987121,196190,1600.0
Serbia ,EASTERN EUROPE                     ,9396411,88361,2200.0
Seychelles ,SUB-SAHARAN AFRICA                 ,81541,455,7800.0
Sierra Leone ,SUB-SAHARAN AFRICA                 ,6005250,71740,500.0
Singapore ,ASIA (EX. NEAR EAST)         ,4492150,693,23700.0
Slovakia ,EASTERN EUROPE                     ,5439448,48845,13300.0
Slovenia ,EASTERN EUROPE                     ,2010347,20273,19000.0
Solomon Islands ,OCEANIA                            ,552438,28450,1700.0
Somalia ,SUB-SAHARAN AFRICA                 ,8863338,637657,500.0
South Africa ,SUB-SAHARAN AFRICA                 ,44187637,1219912,10700.0
Spain ,WESTERN EUROPE                     ,40397842,504782,22000.0
Sri Lanka ,ASIA (EX. NEAR EAST)         ,20222240,65610,3700.0
Sudan ,SUB-SAHARAN AFRICA                 ,41236378,2505810,1900.0
Suriname ,LATIN AMER. & CARIB    ,439117,163270,4000.0
Swaziland ,SUB-SAHARAN AFRICA                 ,1136334,17363,4900.0
Sweden ,WESTERN EUROPE                     ,9016596,449964,26800.0
Switzerland ,WESTERN EUROPE                     ,7523934,41290,32700.0
Syria ,NEAR EAST                          ,18881361,185180,3300.0
Taiwan ,ASIA (EX. NEAR EAST)         ,23036087,35980,23400.0
Tajikistan ,C.W. OF IND. STATES ,7320815,143100,1000.0
Tanzania ,SUB-SAHARAN AFRICA                 ,37445392,945087,600.0
Thailand ,ASIA (EX. NEAR EAST)         ,64631595,514000,7400.0
Togo ,SUB-SAHARAN AFRICA                 ,5548702,56785,1500.0
Tonga ,OCEANIA                            ,114689,748,2200.0
Trinidad & Tobago ,LATIN AMER. & CARIB    ,1065842,5128,9500.0
Tunisia ,NORTHERN AFRICA                    ,10175014,163610,6900.0
Turkey ,NEAR EAST                          ,70413958,780580,6700.0
Turkmenistan ,C.W. OF IND. STATES ,5042920,488100,5800.0
Turks & Caicos Is ,LATIN AMER. & CARIB    ,21152,430,9600.0
Tuvalu ,OCEANIA                            ,11810,26,1100.0
Uganda ,SUB-SAHARAN AFRICA                 ,28195754,236040,1400.0
Ukraine ,C.W. OF IND. STATES ,46710816,603700,5400.0
United Arab Emirates ,NEAR EAST                          ,2602713,82880,23200.0
United Kingdom ,WESTERN EUROPE                     ,60609153,244820,27700.0
United States ,NORTHERN AMERICA                   ,298444215,9631420,37800.0
Uruguay ,LATIN AMER. & CARIB    ,3431932,176220,12800.0
Uzbekistan ,C.W. OF IND. STATES ,27307134,447400,1700.0
Vanuatu ,OCEANIA                            ,208869,12200,2900.0
Venezuela ,LATIN AMER. & CARIB    ,25730435,912050,4800.0
Vietnam ,ASIA (EX. NEAR EAST)         ,84402966,329560,2500.0
Virgin Islands ,LATIN AMER. & CARIB    ,108605,1910,17200.0
Wallis and Futuna ,OCEANIA                            ,16025,274,3700.0
West Bank ,NEAR EAST                          ,2460492,5860,800.0
Western Sahara ,NORTHERN AFRICA                    ,273008,266000,
Yemen ,NEAR EAST                          ,21456188,527970,800.0
Zambia ,SUB-SAHARAN AFRICA                 ,11502010,752614,800.0
Zimbabwe ,SUB-SAHARAN AFRICA                 ,12236805,390580,1900.0
